name	price	effect	pSize	recipe
Healing Potion	750	Heals 5 HP, and allows you five re-rolls in any minigame of your choice	Medium	Medicinal Herb + Red Herb
Love Potion	1000	The drinker will fall madly in love with the first person they see. Lasts from a day to a week, depending on how much you drink	Medium	Strawberry + Honey + Any Red Flower + Wine
Recovery Potion	500	Heals 3 HP, and allows you three re-rolls in a minigame	Small	Medicinal Herb + Green Herb
Para-gone	250	Cures Paralysis, as well as nullifies any paralysis-related results in minigames	Small	Indigo Herb (x2)
Roundoff	250	Cures Silence, as well as nullifies any silence-related results in minigames.	Small	Black Herb (x2)
Antidote Potion	300	Cures Poison, as well as nullifies any poison-related results in minigames	Small	Antidote Herb + Yellow Herb
Cold Medicine	300	Cures Sickness, as well as nullifies any sickness-related results in minigames	Small	Orange Herb + Toy Flower
Heavy Spice	350	N/A	Small	Purple Herb
Sweet Powder	350	N/A	Small	Apple
Sour Drop	350	N/A	Small	Orange
Mixed Herbs	350	N/A	Small	Green Herb + Toy Flower
Ether	500	Heals 2 MP	Small	Sage + Elli Leaves
Life Bottle	550	Revives a character with 2 HP	Small	White Herb + Black Herb
Sunshine Potion	600	Makes you totally happy and upbeat for a day	Small	Yellow Herb + Orange Herb
Shade Potion	600	Puts you into an incredibly low mood for a day	Small	Indigo Herb + Black Herb
Object X	600	Depletes half of HP (or 30% of HP for some summons and bosses) as well as inflicting the drinker with poison, sickness, silence, and paralysis. Better go see a doctor or a priest for it...	Small	Poison Mushroom + Weed + Black Herb **OR** Obtain a 'Fail!' Result in the Alchemy Minigame
Object XX	600	Inflicts a Death Curse, Depletes half of HP (or 30% of HP for some summons and bosses) as well as inflicting the drinker with poison, sickness, silence, and paralysis. Better go see a doctor or a priest for it...	Small	Obtain a 'Fail!' Result in the Alchemy Minigame when trying to craft Object X
Navigation Potion	700	Allows you to take 3 choices in the voyage minigame and turn them into whatever you want	Medium	Coconut + Sage + Orange Herb
Second Chance Potion	700	Allows you one re-roll for  any minigame or chatzy rolls	Medium	Red Herb + Pink Cat + Blue Magic Flower
Float Potion	700	Allows you to float in midair for a limited period of time	Medium	Bird's Feather + Wind Crystal + Chamomile
Mew Mew Potion	800	Turns you into a cat for three days	Medium	Pink Cat + Very Berry + Sage
Ribbit Ribbit Potion	800	Turns you into a frog for three days	Medium	Fugue Mushroom + Toadstool + Blackberry
Aging Potion	850	Ages the drinker up to a certain stage in life. The more you drink the older you get. Lasts for a day	Medium	Sage + Elli Leaves + Fugue Mushroom
De-Aging Potion	850	Makes the drinker younger and brings them down to a certain stage in life. The more you drink, the younger you get. Lasts for a day.	Medium	Very Berry + Elli Leaves + Fugue Mushroom
Formula A	700	Doubles the value of a crop/fruit/flower grown in the gardening minigame	Medium	Weed + Blue Herb + Black Herb
Hi-Ether	800	Heals 6 MP	Medium	Sage + Elli Leaves + Ether
