name,price,obtainFrom
Anubis Beetle,450,Critter Catching Minigame(Summer)
Big Pincer Beetle,220,Critter Catching Minigame(Summer)
Caucasus Beetle,520,Critter Catching Minigame(Fall + Winter)
Elephant Beetle,500,Critter Catching Minigame(Spring + Fall + Winter)
Giraffe Stag Beetle,1500,Critter Catching Minigame(All Seasons)
Hercules Beetle,640,Critter Catching Minigame(Spring + Fall + Winter)
Pincer Beetle,200,Critter Catching Minigame(Summer)
Rainbow Beetle,600,Critter Catching Minigame(All Seasons)
Rhinoceros Beetle,200,Critter Catching Minigame(Summer)
Stag Beetle,210,Critter Catching Minigame(Summer)
White Giant Beetle,700,Critter Catching Minigame(Summer)
White Hill Beetle,280,Critter Catching Minigame(Spring)
White Morn Beetle,150,Critter Catching Minigame(Summer)
