name,price,obtainFrom
Bell Cricket,200,Critter Catching Minigame(Summer)
Brown Cricket,300,Critter Catching Minigame(Spring + Fall + Winter)
Bush Cricket,350,Critter Catching Minigame(Fall + Winter)
Cornered Cricket,270,Critter Catching Minigame(Summer)
Dirt Grasshopper,190,Critter Catching Minigame(All Seasons)
Eastern Locust,450,Critter Catching Minigame(Summer)
Emma Field Cricket,500,Critter Catching Minigame(Spring + Summer + Winter)
Kobane Grasshopper,150,Critter Catching Minigame(Spring + Summer + Winter)
Kutsuwa Katydid,200,Critter Catching Minigame(Spring + Summer)
Longhead Locust,150,Critter Catching Minigame(Spring + Summer)
Migratory Locust,500,Critter Catching Minigame(Spring + Winter)
Mole Cricket,360,Critter Catching Minigame(Spring + Winter)
Piggyback Locust,150,Critter Catching Minigame(Spring + Summer + Winter)
Spotted Locust,190,Critter Catching Minigame(Spring + Summer + Winter)
