name,price,obtainFrom
Aegis Dragonfly,600,Critter Catching Minigame(Summer + Fall + Winter)
Azure Dragonfly,220,Critter Catching Minigame(Summer + Fall)
Cobalt Dragonfly,300,Critter Catching Minigame(Fall)
Common Darter,190,Critter Catching Minigame(Fall)
Common Skimmer,200,Critter Catching Minigame(Summer + Fall)
Emperor Dragonfly,1500,Critter Catching Minigame(Summer + Fall + Winter)
Giant Petaltail,2500,Critter Catching Minigame(Summer + Fall + Winter)
Golden Dragonfly,300,Critter Catching Minigame(Fall)
Pacific Dragonfly,400,Critter Catching Minigame(Summer + Fall + Winter)
Red Dragonfly,150,Critter Catching Minigame(Fall + Winter)
Scarlet Skimmer,210,Critter Catching Minigame(Fall)
Yellow Damselfly,220,Critter Catching Minigame(Fall)
