name,price,obtainFrom
Black Firefly,180,Critter Catching Minigame(Summer)
Cabbage Firefly,190,Critter Catching Minigame(Summer)
Candle Firefly,190,Critter Catching Minigame(Summer)
Emperor Firefly,800,Critter Catching Minigame(Summer)
Genji Firefly,150,Critter Catching Minigame(Fall + Winter)
Lantern Firefly,400,Critter Catching Minigame(Summer)
Luciola Firefly,300,N/A
Mustache Firefly,400,N/A
Pacific Firefly,190,Critter Catching Minigame(Fall + Winter)
Purple Firefly,430,N/A
Southern Firefly,450,Critter Catching Minigame(Fall + Winter)
Spotted Firefly,200,N/A
Summer Firefly,240,Critter Catching Minigame(Summer)
Princess Firefly,700,Critter Catching Minigame(Summer)
Winter Firefly,600,Critter Catching Minigame(Fall + Winter)
Yellow Firefly,200,Critter Catching Minigame(Summer)
