name	price	rarity	wEffect	eEffect
Big Crystal	3000	UNDETERMINED	Not Applicable	Not Applicable
Crystal	700	N/A	N/A	N/A
Dark Crystal	700	COMMON	Inserts Minor Curse (Needs Mod Approval)	Inserts Minor Curse (Needs Mod Approval)
Earth Crystal	800	UNCOMMON	Earth Elemental on Attack	Earth Resistance
Fire Crystal	800	UNCOMMON	Fire Elemental on Attack	Fire Resistance
Love Crystal	2500	UNCOMMON	20% Chance of Critical Hit	20% Chance of Dodging a Hit
Magic Crystal	3500	RARE	M.ATK +5	M.DEF +5
Rune Crystal	5000	N/A	N/A	N/A
Water Crystal	800	UNCOMMON	Water Elemental on Attack	Water Resistance
Wind Crystal	800	UNCOMMON	Wind Elemental on Attack	Wind Resistance
