name	price	recipeSize	effects	recipe
Achaar	1100	Medium	ATK +8	Cucumber + Carrot + Corn
Asazuke	820	Medium	SPD +7	Cucumber + Turnip
Burdock Salad	400	Small	DEF +3, SPD +3	Burdock
Caprese	800	Medium	M.ATK +6, DEF +6	Tomato + Cheese
Classy Carpaccio	3600	Large	M.ATK +10, M.DEF +10	Tuna + Onion + Oil + Any Herb
Coleslaw	4000	Large	ATK +10, DEF +10, SPD +10, Cures ailments	Any Vegetable + Apple + Honey + Yogurt + Mayonnaise
Corn Salad	260	Small	ATK +2, SPD +2	Corn
Cucumber Namul	240	Small	SPD +2	Cucumber
Curry Salad	760	Medium	ATK +6, M.ATK +6, Fire Resistance	Yam + Curry Powder
Fritter Salad	2000	Large	M.DEF +10	Pontata Root + Cabbage + Carrot + Flour
Fruit Salad	3000	Large	DEF +10	Apple + Orange + Pineapple + Yogurt
Herb Salad	600	Medium	SPD +5, M.DEF +5, Wind Resistance	Mint + Chamomile + Lavender
Italian Salad	1250	Medium	M.DEF +9, SPD +9	Cucumber + Tomato + Honey + Any Herb
Lomi Lomi Salmon	1400	Medium	ATK +9, Doubles the quantity of a monster’s dropped items	Salmon + Onion + Tomato + Cucumber
Milk Salad	700	Medium	DEF +5, ATK +5	Milk + Any Vegetable
Mimosa Salad	610	Medium	M.ATK +5	Egg + Any Vegetable
Mixed Salad	1500	Large	SPD +10	Turnip + Cabbage + Onion + Tomato
Mushroom Salad	750	Medium	M.ATK +6, M.DEF +6, Cure Poison	Mushroom + Any Vegetable
Onion Salad	240	Small	M.DEF +2, DEF +2	Onion
Pasta Salad	950	Medium	M.DEF +8	Cucumber + Flour + Mayonnaise
Pickles	205	Small	ATK +2	Cucumber
Pickle Mix	520	Medium	DEF +4	Turnip + Pink Turnip
Pickled Turnip	140	Small	DEF +2	Turnip **OR** Pink Turnip
Plum Vinegar Salad	840	Medium	ATK +7, M.ATK +7	Any Mushroom + Plum
Potato Plum Salad	870	Medium	DEF +7, M.DEF +7	Potato + Plum
Potato Salad	230	Small	M.DEF +2	Potato
Pumpkin Salad	300	Small	DEF +3, ATK +3	Pumpkin
Rice Salad	1550	Large	M.ATK +10	Cabbage + Onion + Rice + Mayonnaise
Salad	590	Medium	DEF +4	Mayonnaise + Cucumber + Tomato + Cabbage
Spinach Salad	460	Small	Increases earned EXP by 50	Spinach + Eggplant
Summer Salad	2300	Large	ATK +10	Tomato + Onion + Pumpkin + Corn
Tomato Salad	250	Small	M.ATK +2, ATK +2	Tomato
Turnip Heaven	7000	Large	All Stats +10, Doubles EXP earned	Turnip + Pink Turnip + Golden Turnip
Turnip Salad	210	Small	M.ATK +2	Turnip
Yam Salad	350	Small	SPD +3	Yam
