name,price,obtainFrom
Antidote Herb,250,Foraging Minigame (Arcadia:Any Season + Elysia)
Black Herb,300,Foraging Minigame (Arcadia:Any Season + Elysia)
Blue Herb,260,Foraging Minigame (Arcadia:Spring + Fall + Winter + Elysia)
Chamomile,200,Foraging Minigame (Arcadia:Spring + Summer + Elysia)
Elli Leaves,500,Foraging Minigame (Arcadia:Winter + Elysia)
Green Herb,230,Foraging Minigame (Arcadia:Any Season + Elysia)
Indigo Herb,270,Foraging Minigame (Arcadia:Fall + Winter + Elysia)
Lavender,200,Foraging Minigame (Arcadia:Fall + Winter + Elysia)
Medicinal Herb,250,Foraging Minigame (Arcadia:Any Season + Elysia)
Mint,220,Foraging Minigame (Arcadia:Spring + Summer + Fall + Elysia)
Orange Herb,250,Foraging Minigame (Arcadia:Spring + Summer)
Purple Herb,230,Foraging Minigame (Arcadia:Spring + Summer + Winter + Elysia)
Red Herb,250,Foraging Minigame (Arcadia:Summer + Fall + Winter + Elysia)
Rosemary,140,Foraging Minigame (Arcadia:Spring + Fall)
Sage,400,Foraging Minigame (Arcadia:Spring + Winter + Elysia)
White Herb,350,Foraging Minigame (Arcadia:Winter + Elysia)
Yellow Herb,240,Foraging Minigame (Arcadia:Spring + Summer + Fall)
