name	price	rarity	wEffect	eEffect
Ambrosia's Thorn	3000	N/A	N/A	N/A
Big Bird's Comb	1400	N/A	N/A	N/A
Bird's Feather	200	COMMON	SPD +1	SPD +1
Black Bird Feather	450	N/A	N/A	N/A
Black Scale	500	N/A	N/A	N/A
Black Tortoise Shell	300	N/A	N/A	N/A
Blue Core	3000	RARE	Ability to use low-level Water Magic	Ability to use low-level Water Magic
Blue Scale	350	N/A	N/A	N/A
Chest Hair	3600	N/A	N/A	N/A
Chimera Claw	1300	N/A	N/A	N/A
Devil Blood	200	UNCOMMON	ATK + 3	DEF +3
Devil Horn	500	N/A	N/A	N/A
Dragon Fang	400	N/A	N/A	N/A
Dragon Fin	10000	N/A	N/A	N/A
Dragon Scale	350	N/A	N/A	N/A
Fur	120	N/A	N/A	N/A
Giant's Nail	230	N/A	N/A	N/A
Gold Wolf Fang	850	N/A	N/A	N/A
Green Core	3000	RARE	Ability to use low-level Wind Magic	Ability to use low-level Wind Magic
Grimoire Scale	3000	N/A	N/A	N/A
Hard Horn	700	N/A	N/A	N/A
Insect Carapace	120	N/A	N/A	N/A
Insect Horn	200	N/A	N/A	N/A
Insect Jaw	180	N/A	N/A	N/A
Ivory Tusk	200	N/A	N/A	N/A
Legendary Scale	15000	N/A	N/A	N/A
Love Scale	400	N/A	N/A	N/A
Magic Claw	300	N/A	N/A	N/A
Palm Claw	150	N/A	N/A	N/A
Panther Claw	250	N/A	N/A	N/A
Penguin Down	200	N/A	N/A	N/A
Pretty Carapace	630	N/A	N/A	N/A
Quality Fur	300	N/A	N/A	N/A
Queen's Jaw	500	N/A	N/A	N/A
Rafflesia Petal	1200	N/A	N/A	N/A
Red Core	3000	RARE	Ability to use low-level Fire Magic	Ability to use low-level Fire Magic
Rigid Horn	300	N/A	N/A	N/A
Scorpion Pincer	150	N/A	N/A	N/A
Scorpion Tail	130	N/A	N/A	N/A
Thunderbird Feather	400	N/A	N/A	N/A
Tortoise Shell	150	N/A	N/A	N/A
Turtle Shell	500	COMMON	DEF + 1	DEF + 1
Wet Scale	250	N/A	N/A	N/A
Wolf Fang	460	N/A	N/A	N/A
Wooly Furball	230	N/A	N/A	N/A
Yellow Core	3000	RARE	Ability to use low-level Earth Magic	Ability to use low-level Earth Magic
Yellow Down	280	N/A	N/A	N/A
Yellow Feather	350	N/A	N/A	N/A
