name	price	rarity	wEffect	eEffect
Arrowhead	120	N/A	N/A	N/A
Blade Shard	245	N/A	N/A	N/A
Bottle	10	N/A	N/A	N/A
Brick	50	N/A	N/A	N/A
Broken Box	600	N/A	N/A	N/A
Broken Hilt	540	N/A	N/A	N/A
Can	100	N/A	N/A	N/A
Cheap Propeller	150	N/A	N/A	N/A
Crystal Skull	4000	RARE	Ability to use low-level Ice Magic	Ability to use low-level Ice Magic
Cursed Doll	800	N/A	N/A	N/A
Fish Bone	100	N/A	N/A	N/A
Fish Fossil	3000	N/A	N/A	N/A
Glistening Blade	250	N/A	N/A	N/A
Glitta Augite	1500	UNCOMMON	ALL STATS +1	ALL STATS +1
Glue	70	N/A	N/A	N/A
Hammer Piece	640	N/A	N/A	N/A
Large Money Bag	1500	N/A	N/A	N/A
Medium Money Bag	800	N/A	N/A	N/A
Old Coin	150	N/A	N/A	N/A
Perfume	500	N/A	N/A	N/A
Pirate's Armor	400	N/A	N/A	N/A
Pirate Treasure	"6,000"	N/A	N/A	N/A
Poison King	600	N/A	N/A	N/A
Proof of Warrior	350	N/A	N/A	N/A
Quality Propeller	300	N/A	N/A	N/A
Rare Can	400	N/A	N/A	N/A
Rubber Boot	1	N/A	N/A	N/A
Rune Sphere Shard	15000	RARE	ALL STATS +5	ALL STATS +5
Rusty Screw	100	N/A	N/A	N/A
Sakura Seashell	670	UNCOMMON	30% Chance of dealing Stun	30% Chance of resisting Stun if HIT with it
Shiny Coin	500	N/A	N/A	N/A
Shiny Screw	800	N/A	N/A	N/A
Skull	120	N/A	N/A	N/A
Small Money Bag	300	N/A	N/A	N/A
Sun Block	20	N/A	N/A	N/A
Weed	5	N/A	N/A	N/A
