name,price,rarity,wEffect,eEffect,obtainFrom
Black Rock,200,N/A,N/A,N/A,Mining Minigame (Hammer) + Foraging Minigame (Arcadia:Any Season)
Black Stone,800,N/A,N/A,N/A,Stone Breaking Minigame (Copper Hammer + Silver Hammer + Gold Hammer + Mystic Hammer)
Glass Stone,200,COMMON,MP +1,MP +1,Mining Minigame (Hammer) + Foraging Minigame (Arcadia:Any Season)
Glittering Stone,300,COMMON,M.ATK +1,M.DEF +1,Foraging Minigame (Arcadia:Winter)
Invisible Stone,7000,RARE,Adds 1 HIT to every attack line,Removes 1 HIT from every attack line made towards you,Mining Minigame (Hoe)
Mythic Stone,10000,N/A,N/A,N/A,Mining Minigame (Hoe)
Old Stone,100,N/A,N/A,N/A,Stone Breaking Minigame (Any Hammer)
Rock,50,COMMON,ATK +1,DEF +1,Mining Minigame (Hammer) + Logging Minigame (Any Axe) + Foraging Minigame (Arcadia:Spring + Fall + Winter)
Shade Stone,5000,RARE,Ability to use low-level Dark Magic,Ability to use low-level Dark Magic,Mining Minigame (Hammer)
Small Rock,5,COMMON,ATK +1,DEF +1,Mining Minigame (Hammer + Hoe) + Foraging Minigame (Arcadia:Any Season)
Small Stone,200,N/A,N/A,N/A,Stone Breaking Minigame (Any Hammer)
Stone,500,N/A,N/A,N/A,Stone Breaking Minigame (Any Hammer)
Sun Stone,1500,UNCOMMON,Light Elemental Attack,Light Resistance,Mining Minigame (Hammer)
Useless Rocks,1,N/A,N/A,N/A,Mining Minigame (Hoe)
White Stone,8000,RARE,Ability to heal 3HP to anyone once per battle,Ability to heal 3HP to anyone once per battle,Mining Minigame (Hammer)
