name,price,obtainFrom
Apricot,300,Foraging Minigame (Arcadia:Summer)
Blackberry,360,Foraging Minigame (Arcadia:Summer + Winter + Elysia)
Blueberry,350,Foraging Minigame (Arcadia:Spring + Fall)
Chestnut,350,Foraging Minigame (Arcadia:Fall)
Coconut,650,Foraging Minigame (Arcadia:Summer)
Common Mushroom,395,Foraging Minigame (Arcadia:Spring + Summer + Fall)
Coral Mushroom,440,Foraging Minigame (Arcadia:Summer + Fall)
Cranberry,360,Foraging Minigame (Arcadia:Fall + Winter + Elysia)
Fugue Mushroom,2500,Foraging Minigame (Arcadia:Any Season)
Honeycomb,150,Foraging Minigame (Arcadia:Spring + Fall)
Mushroom,380,Foraging Minigame (Arcadia:Spring + Winter)
Plum,300,Foraging Minigame (Arcadia:Summer)
Poison Mushroom,520,Foraging Minigame (Arcadia:Any Season)
Raspberry,350,Foraging Minigame (Arcadia:Spring + Summer)
Seaweed,495,Foraging Minigame (Arcadia:Spring + Fall + Winter)
Shiitake,480,Foraging Minigame (Arcadia:Spring + Summer)
Shimeji,410,Foraging Minigame (Arcadia:Summer + Fall)
Toadstool,420,Foraging Minigame (Arcadia:Any Season)
Trumpet Mushroom,440,Foraging Minigame (Arcadia:Fall + Winter)
Very Berry,600,Foraging Minigame (Arcadia:Spring)
Walnut,300,Foraging Minigame (Arcadia:Spring + Summer + Winter + Elysia)
